campaign_name,date_start,date_stop,impressions,landing_page_view,spend,calc_cpc,calc_ctr,net_quantity,total_sales,cost,capital_roi
curren 8225,6/11/2019,8/11/2019,15159,280,5000,17.86,0.0185,22,83600,60500,0.001200
curren 8225,1/12/2019,7/12/2019,32013,226,15000,66.37,0.0071,22,112200,60500,0.000700
curren 8225,11/12/2019,16-12-19,17552,92,9755,106.03,0.0052,13,71500,35750,0.000800
curren 8225,17-12-19,21-12-19,28875,138,9542,69.14,0.0048,21,115500,57750,0.001600
curren 8225,22-12-19,3/1/2020,13300,94,3000,31.91,0.0071,21,115500,57750,0.006300
curren 8225,10/1/2020,4/1/2020,93479,309,23977,77.6,0.0033,22,121000,60500,0.000400
curren 8225,11/1/2020,5/1/2020,33556,115,9527.33,82.85,0.0034,8,44000,22000,0.000300
curren 8225,12/1/2020,6/1/2020,17032,59,4629.4,78.46,0.0035,5,27500,13750,0.000500
curren 8225,13-01-20,7/1/2020,23497,82,5373.21,65.53,0.0035,17,93500,46750,0.002500
curren 8225,14-01-20,8/1/2020,13221,74,7375.37,99.67,0.0056,15,82500,41250,0.001400
curren 8225,15-01-20,9/1/2020,9645,61,5495.61,90.09,0.0063,6,33000,16500,0.000600
curren 8225,16-01-20,10/1/2020,67844,164,8834,53.87,0.0024,7,38500,19250,0.000300
curren 8225,17-01-20,11/1/2020,33507,49,3501.45,71.46,0.0015,2,11000,5500,0.000100
curren 8225,18-01-20,12/1/2020,17241,59,2361,40.02,0.0034,3,16500,8250,0.000700
curren 8225,19-01-20,13-01-20,73377,303,10042.69,33.14,0.0041,2,11000,5500,-0.000100
curren 8225,20-01-20,14-01-20,13349,102,1855.29,18.19,0.0076,3,16500,8250,0.001000
curren 8225,21-01-20,15-01-20,37118,341,6010.21,17.63,0.0092,26,143000,71500,0.003700
curren 8225,22-01-20,16-01-20,46206,283,6959.15,24.59,0.0061,27,148500,74250,0.003200
curren 8225,23-01-20,17-01-20,63381,289,7690.64,26.61,0.0046,30,165000,82500,0.003200
curren 8225,24-01-20,18-01-20,74742,230,10333.28,44.93,0.0031,9,49500,24750,0.000400
curren 8225,25-01-20,19-01-20,57420,209,5795.12,27.73,0.0036,15,82500,41250,0.002000
curren 8225,26-01-20,20-01-20,32075,212,6201.98,29.25,0.0066,24,132000,66000,0.003200
curren 8225,27-01-20,21-01-20,40026,210,6323.69,30.11,0.0052,24,132000,66000,0.003100
curren 8225,28-01-20,22-01-20,33608,254,6680.63,26.3,0.0076,29,159500,79750,0.003700
curren 8225,29-01-20,23-01-20,29805,193,6583.39,34.11,0.0065,19,104500,63460,0.001400
curren 8225,6/28/2020,Fri Jul  3 15:03:26 2020,28516,196,6423.35,32.77,0.0069,28,154000,66000,0.004910
curren 8225,6/28/2020,Fri Jul  3 15:04:32 2020,28516,196,6423.35,32.77,0.0069,28,154000,66000,0.004910
curren 8225,6/28/2020,Fri Jul  3 15:07:14 2020,28516,196,6423.35,32.77,0.0069,28,154000,66000,0.004910
curren 8225,6/28/2020,Fri Jul  3 15:12:43 2020,28559,196,6433.87,32.82,0.0069,28,154000,66000,0.004900653
curren 8225,6/28/2020,Fri Jul  3 15:15:12 2020,28559,196,6433.87,32.82,0.0069,28,154000,66000,0.004900653
curren 8225,6/28/2020,Fri Jul  3 15:17:36 2020,28559,196,6433.87,32.82,0.0069,28,154000,66000,0.004900653
curren 8225,6/28/2020,Fri Jul  3 15:17:51 2020,28559,196,6433.87,32.82,0.0069,28,154000,66000,0.004900653
curren 8225,2020-06-28,Fri Jul  3 15:24:10 2020,28609.0,198,6444.81,32.55,0.0069,28.0,154000.0,66000.0,0.004890938917993481
curren 8225,2020-06-28,Fri Jul  3 15:26:23 2020,28609.0,198,6444.81,32.55,0.0069,28.0,154000.0,66000.0,0.004890938917993481
curren 8225,2020-06-28,Fri Jul  3 15:27:35 2020,28609.0,198,6444.81,32.55,0.0069,28.0,154000.0,66000.0,0.004890938917993481
curren 8225,2020-06-28,Fri Jul  3 15:33:34 2020,28652.0,198,6455.16,32.6,0.0069,28.0,154000.0,66000.0,0.004881779789974311
curren 8225,2020-06-28,Fri Jul  3 15:35:43 2020,28652.0,198,6455.16,32.6,0.0069,28.0,154000.0,66000.0,0.004881779789974311
curren 8225,2020-06-28,Fri Jul  3 15:36:43 2020,28652.0,198,6455.16,32.6,0.0069,28.0,154000.0,66000.0,0.004881779789974311
curren 8225,2020-06-28,Fri Jul  3 15:57:00 2020,28736.0,199,6473.87,32.53,0.0069,28.0,154000.0,66000.0,0.004865297838634233
